net,length_um
clknet_leaf_128_clk,75.935
_132_\[24\],75.91
_152_\[19\],75.85
_03655_,75.81
_03254_,75.68
_04339_,75.47
_243_\[1\],75.375
_04462_,75.315
_02670_,75.27
_04454_,75.255
_130_\[10\],75.14
_03126_,74.995
_164_\[4\],74.855
clknet_leaf_118_clk,74.8
_04027_,74.735
_05581_,74.575
_04249_,74.54
_04375_,74.515
_152_\[2\],74.45
_234_\[8\],74.355
_02653_,74.315
_03506_,74.285
_132_\[3\],74.18
_04306_,73.91
_02619_,73.775
_152_\[16\],73.74
_04514_,73.68
_176_\[3\],73.655
_02713_,73.495
_03060_,73.495
_02597_,73.47
net55,73.435
_170_\[2\],73.395
_02892_,73.36
_234_\[10\],73.055
_02647_,73.035
_03582_,72.995
_01734_,72.985
_05739_,72.95
